Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
14272,,,None,matthews-laptop.local,tcp,8834,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 8834/tcp was found to be open
14272,,,None,matthews-laptop.local,tcp,88,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 88/tcp was found to be open
14272,,,None,matthews-laptop.local,tcp,22,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 22/tcp was found to be open
14272,,,None,matthews-laptop.local,tcp,548,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 548/tcp was found to be open
14272,,,None,matthews-laptop.local,udp,59833,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 59833/udp was found to be open
14272,,,None,matthews-laptop.local,udp,123,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 123/udp was found to be open
14272,,,None,matthews-laptop.local,udp,50188,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 50188/udp was found to be open
14272,,,None,matthews-laptop.local,udp,50187,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 50187/udp was found to be open
14272,,,None,matthews-laptop.local,udp,57287,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 57287/udp was found to be open
14272,,,None,matthews-laptop.local,udp,5353,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 5353/udp was found to be open
14272,,,None,matthews-laptop.local,udp,88,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 88/udp was found to be open
14272,,,None,matthews-laptop.local,udp,137,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 137/udp was found to be open
14272,,,None,matthews-laptop.local,udp,138,netstat portscanner (SSH),Remote open ports are enumerated via SSH.,"This plugin runs 'netstat' on the remote machine to enumerate open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 138/udp was found to be open
56310,,,None,matthews-laptop.local,tcp,0,Firewall Rule Enumeration,A firewall is configured on the remote host.,"Using the supplied credentials, Nessus was able to get a list of
firewall rules from the remote host.",n/a,,"
By running ""/sbin/pfctl -s nat"", Nessus was able to get the 
following list of firewall rules :
nat-anchor ""com.apple/*"" all
rdr-anchor ""com.apple/*"" all
By running ""/sbin/pfctl -s rules"", Nessus was able to get the 
following list of firewall rules :
scrub-anchor ""com.apple/*"" all fragment reassemble
anchor ""com.apple/*"" all
"
,,,Low,matthews-laptop.local,,,,,,Upgrade to a supported firewall.,,The remote firewall is no longer supported by its vendor.
,,,Low,matthews-laptop.local,,,,,,Either contact the vendor for an update or review the firewall rules settings. See Also: http://archives.neohapsis.com/archives/fulldisclosure/2003-q2/0352.html.,,Firewall rulesets can be bypassed.
