Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
10902,,,None,169.254.157.17,tcp,0,Microsoft Windows 'Administrators' Group User List,There is at least one user in the 'Administrators' group.,"Using the supplied credentials, it is possible to extract the member
list of the 'Administrators' group. Members of this group have
complete access to the remote system.",Verify that each member of the group should have this type of access.,,"
The following users are members of the 'Administrators' group :
  - DEVICE-3\Administrator (User)
  - DEVICE-3\csadmin (User)
  - DEVICE-3\AllenMamo (User)
"
10913,,,Low,169.254.157.17,tcp,0,Microsoft Windows - Local Users Information : Disabled accounts,At least one local user account has been disabled.,"Using the supplied credentials, it is possible to list local user
accounts that have been disabled.",Delete accounts that are no longer needed.,,"
The following local user account has been disabled :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10914,,,Medium,169.254.157.17,tcp,0,Microsoft Windows - Local Users Information : Never changed passwords,At least one local user has never changed his / her password.,"Using the supplied credentials, it is possible to list local users who
have never changed their passwords.",Allow / require users to change their passwords regularly.,,"
The following local user has never changed his / her password :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10915,,,Low,169.254.157.17,tcp,0,Microsoft Windows - Local Users Information : User has never logged on,At least one local user has never logged in to his / her account.,"Using the supplied credentials, it is possible to list local users who
have never logged into their accounts.",Delete accounts that are not needed.,,"
The following local users have never logged in :
  - Guest
  - SophosSAUCSPC1680
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10916,,,Medium,169.254.157.17,tcp,0,Microsoft Windows - Local Users Information : Passwords never expire,At least one local user has a password that never expires.,"Using the supplied credentials, it is possible to list local users
that are enabled and whose passwords never expire.",Allow / require users to change their passwords regularly.,,"
The following local users have passwords that never expire :
  - Administrator
  - SophosSAUCSPC1680
  - AllenMamo
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for this plugin, then re-run the
scan.
"
10902,,,None,169.254.197.189,tcp,0,Microsoft Windows 'Administrators' Group User List,There is at least one user in the 'Administrators' group.,"Using the supplied credentials, it is possible to extract the member
list of the 'Administrators' group. Members of this group have
complete access to the remote system.",Verify that each member of the group should have this type of access.,,"
The following users are members of the 'Administrators' group :
  - DEVICE-5\Administrator (User)
  - DEVICE-5\csadmin (User)
  - DEVICE-5\AllenMamo (User)
"
10913,,,Low,169.254.197.189,tcp,0,Microsoft Windows - Local Users Information : Disabled accounts,At least one local user account has been disabled.,"Using the supplied credentials, it is possible to list local user
accounts that have been disabled.",Delete accounts that are no longer needed.,,"
The following local user account has been disabled :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10914,,,Medium,169.254.197.189,tcp,0,Microsoft Windows - Local Users Information : Never changed passwords,At least one local user has never changed his / her password.,"Using the supplied credentials, it is possible to list local users who
have never changed their passwords.",Allow / require users to change their passwords regularly.,,"
The following local user has never changed his / her password :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10915,,,Low,169.254.197.189,tcp,0,Microsoft Windows - Local Users Information : User has never logged on,At least one local user has never logged in to his / her account.,"Using the supplied credentials, it is possible to list local users who
have never logged into their accounts.",Delete accounts that are not needed.,,"
The following local users have never logged in :
  - Guest
  - SophosSAUCSPC1680
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10916,,,Medium,169.254.197.189,tcp,0,Microsoft Windows - Local Users Information : Passwords never expire,At least one local user has a password that never expires.,"Using the supplied credentials, it is possible to list local users
that are enabled and whose passwords never expire.",Allow / require users to change their passwords regularly.,,"
The following local users have passwords that never expire :
  - Administrator
  - SophosSAUCSPC1680
  - AllenMamo
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for this plugin, then re-run the
scan.
"
10902,,,None,169.254.248.143,tcp,0,Microsoft Windows 'Administrators' Group User List,There is at least one user in the 'Administrators' group.,"Using the supplied credentials, it is possible to extract the member
list of the 'Administrators' group. Members of this group have
complete access to the remote system.",Verify that each member of the group should have this type of access.,,"
The following users are members of the 'Administrators' group :
  - DEVICE-2\Administrator (User)
  - DEVICE-2\csadmin (User)
  - DEVICE-2\AllenMamo (User)
"
10913,,,Low,169.254.248.143,tcp,0,Microsoft Windows - Local Users Information : Disabled accounts,At least one local user account has been disabled.,"Using the supplied credentials, it is possible to list local user
accounts that have been disabled.",Delete accounts that are no longer needed.,,"
The following local user account has been disabled :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10914,,,Medium,169.254.248.143,tcp,0,Microsoft Windows - Local Users Information : Never changed passwords,At least one local user has never changed his / her password.,"Using the supplied credentials, it is possible to list local users who
have never changed their passwords.",Allow / require users to change their passwords regularly.,,"
The following local user has never changed his / her password :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10915,,,Low,169.254.248.143,tcp,0,Microsoft Windows - Local Users Information : User has never logged on,At least one local user has never logged in to his / her account.,"Using the supplied credentials, it is possible to list local users who
have never logged into their accounts.",Delete accounts that are not needed.,,"
The following local users have never logged in :
  - Guest
  - SophosSAUCSPC1680
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10916,,,Medium,169.254.248.143,tcp,0,Microsoft Windows - Local Users Information : Passwords never expire,At least one local user has a password that never expires.,"Using the supplied credentials, it is possible to list local users
that are enabled and whose passwords never expire.",Allow / require users to change their passwords regularly.,,"
The following local users have passwords that never expire :
  - Administrator
  - SophosSAUCSPC1680
  - AllenMamo
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for this plugin, then re-run the
scan.
"
10902,,,None,169.254.54.51,tcp,0,Microsoft Windows 'Administrators' Group User List,There is at least one user in the 'Administrators' group.,"Using the supplied credentials, it is possible to extract the member
list of the 'Administrators' group. Members of this group have
complete access to the remote system.",Verify that each member of the group should have this type of access.,,"
The following users are members of the 'Administrators' group :
  - DEVICE1\Administrator (User)
  - DEVICE1\csadmin (User)
  - DEVICE1\AllenMamo (User)
"
10913,,,Low,169.254.54.51,tcp,0,Microsoft Windows - Local Users Information : Disabled accounts,At least one local user account has been disabled.,"Using the supplied credentials, it is possible to list local user
accounts that have been disabled.",Delete accounts that are no longer needed.,,"
The following local user account has been disabled :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10914,,,Medium,169.254.54.51,tcp,0,Microsoft Windows - Local Users Information : Never changed passwords,At least one local user has never changed his / her password.,"Using the supplied credentials, it is possible to list local users who
have never changed their passwords.",Allow / require users to change their passwords regularly.,,"
The following local user has never changed his / her password :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10915,,,Low,169.254.54.51,tcp,0,Microsoft Windows - Local Users Information : User has never logged on,At least one local user has never logged in to his / her account.,"Using the supplied credentials, it is possible to list local users who
have never logged into their accounts.",Delete accounts that are not needed.,,"
The following local users have never logged in :
  - Guest
  - SophosSAUCSPC1680
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10916,,,Medium,169.254.54.51,tcp,0,Microsoft Windows - Local Users Information : Passwords never expire,At least one local user has a password that never expires.,"Using the supplied credentials, it is possible to list local users
that are enabled and whose passwords never expire.",Allow / require users to change their passwords regularly.,,"
The following local users have passwords that never expire :
  - Administrator
  - SophosSAUCSPC1680
  - AllenMamo
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for this plugin, then re-run the
scan.
"
10902,,,None,169.254.6.46,tcp,0,Microsoft Windows 'Administrators' Group User List,There is at least one user in the 'Administrators' group.,"Using the supplied credentials, it is possible to extract the member
list of the 'Administrators' group. Members of this group have
complete access to the remote system.",Verify that each member of the group should have this type of access.,,"
The following users are members of the 'Administrators' group :
  - DEVICE-4\Administrator (User)
  - DEVICE-4\csadmin (User)
  - DEVICE-4\AllenMame (User)
"
10913,,,Low,169.254.6.46,tcp,0,Microsoft Windows - Local Users Information : Disabled accounts,At least one local user account has been disabled.,"Using the supplied credentials, it is possible to list local user
accounts that have been disabled.",Delete accounts that are no longer needed.,,"
The following local user account has been disabled :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10914,,,Medium,169.254.6.46,tcp,0,Microsoft Windows - Local Users Information : Never changed passwords,At least one local user has never changed his / her password.,"Using the supplied credentials, it is possible to list local users who
have never changed their passwords.",Allow / require users to change their passwords regularly.,,"
The following local user has never changed his / her password :
  - Guest
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10915,,,Low,169.254.6.46,tcp,0,Microsoft Windows - Local Users Information : User has never logged on,At least one local user has never logged in to his / her account.,"Using the supplied credentials, it is possible to list local users who
have never logged into their accounts.",Delete accounts that are not needed.,,"
The following local users have never logged in :
  - Guest
  - SophosSAUCSPC1680
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
10916,,,Low,169.254.6.46,tcp,0,Microsoft Windows - Local Users Information : Passwords never expire,At least one local user has a password that never expires.,"Using the supplied credentials, it is possible to list local users
that are enabled and whose passwords never expire.",Allow / require users to change their passwords regularly.,,"
The following local users have passwords that never expire :
  - Administrator
  - SophosSAUCSPC1680
  - AllenMame
Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for this plugin, then re-run the
scan.
"
60019,,,Low,169.254.81.3,tcp,0,Mac OS X Admin Group User List,There is at least one user in the 'Admin' group.,"Using the supplied credentials, it is possible to extract the member
list of the 'Admin' and 'Wheel' groups.  Members of this group have
administrative access to the remote system.",Verify that each member of the group should have this type of access.,,"
The following users are members of the 'Admin' group :
  - root
  - allenmamo
The following user is a member of the 'Wheel' group :
  - root
"
